time,close
1640995200,45
1641081600,42
1641168000,38
1641254400,35
1641340800,33
1641427200,31
1641513600,29
1641600000,27
1641686400,25
1641772800,23
1641859200,21
1641945600,28
1642032000,32
1642118400,35
1642204800,38
1642291200,42
1642377600,45
1642464000,48
1642550400,52
1642636800,55
1642723200,58
1642809600,61
1642896000,64
1642982400,67
1643068800,70
1643155200,73
1643241600,76
1643328000,79
1643414400,82
1643500800,85
1643587200,88
1643673600,91
1643760000,94
1643846400,97
1643932800,100
1644019200,98
1644105600,95
1644192000,92
1644278400,89
1644364800,86
1644451200,83
1644537600,80
1644624000,77
1644710400,74
1644796800,71
1644883200,68
1644969600,65
1645056000,62
1645142400,59
1645228800,56
1645315200,53
1645401600,50
1645488000,47
1645574400,44
1645660800,41
1645747200,38
1645833600,35
1645920000,32
1646006400,29
1646092800,26
1646179200,23
1646265600,20
1646352000,17
1646438400,14
1646524800,11
1646611200,8
1646697600,5
1646784000,3
1646870400,6
1646956800,9
1647043200,12
1647129600,15
1647216000,18
1647302400,21
1647388800,24
1647475200,27
1647561600,30
1647648000,33
1647734400,36
1647820800,39
1647907200,42
1647993600,45
1648080000,48
1648166400,51
1648252800,54
1648339200,57
1648425600,60
1648512000,63
1648598400,66
1648684800,69
1648771200,72
1648857600,75
1648944000,78
1649030400,81
1649116800,84
1649203200,87
1649289600,90
1649376000,93
1649462400,96
1649548800,99
1649635200,100
1649721600,97
1649808000,94 
