time,close
1640995200,25
1641081600,28
1641168000,31
1641254400,34
1641340800,37
1641427200,40
1641513600,43
1641600000,46
1641686400,49
1641772800,52
1641859200,55
1641945600,58
1642032000,61
1642118400,64
1642204800,67
1642291200,70
1642377600,73
1642464000,76
1642550400,79
1642636800,82
1642723200,85
1642809600,88
1642896000,91
1642982400,94
1643068800,97
1643155200,100
1643241600,98
1643328000,95
1643414400,92
1643500800,89
1643587200,86
1643673600,83
1643760000,80
1643846400,77
1643932800,74
1644019200,71
1644105600,68
1644192000,65
1644278400,62
1644364800,59
1644451200,56
1644537600,53
1644624000,50
1644710400,47
1644796800,44
1644883200,41
1644969600,38
1645056000,35
1645142400,32
1645228800,29
1645315200,26
1645401600,23
1645488000,20
1645574400,17
1645660800,14
1645747200,11
1645833600,8
1645920000,5
1646006400,2
1646092800,4
1646179200,7
1646265600,10
1646352000,13
1646438400,16
1646524800,19
1646611200,22
1646697600,25
1646784000,28
1646870400,31
1646956800,34
1647043200,37
1647129600,40
1647216000,43
1647302400,46
1647388800,49
1647475200,52
1647561600,55
1647648000,58
1647734400,61
1647820800,64
1647907200,67
1647993600,70
1648080000,73
1648166400,76
1648252800,79
1648339200,82
1648425600,85
1648512000,88
1648598400,91
1648684800,94
1648771200,97
1648857600,100
1648944000,98
1649030400,95
1649116800,92
1649203200,89
1649289600,86
1649376000,83
1649462400,80
1649548800,77
1649635200,74
1649721600,71
1649808000,68 
