time,close
1640995200,35
1641081600,37
1641168000,40
1641254400,42
1641340800,45
1641427200,48
1641513600,51
1641600000,54
1641686400,57
1641772800,60
1641859200,63
1641945600,66
1642032000,69
1642118400,72
1642204800,75
1642291200,78
1642377600,81
1642464000,84
1642550400,87
1642636800,90
1642723200,93
1642809600,96
1642896000,99
1642982400,100
1643068800,97
1643155200,94
1643241600,91
1643328000,88
1643414400,85
1643500800,82
1643587200,79
1643673600,76
1643760000,73
1643846400,70
1643932800,67
1644019200,64
1644105600,61
1644192000,58
1644278400,55
1644364800,52
1644451200,49
1644537600,46
1644624000,43
1644710400,40
1644796800,37
1644883200,34
1644969600,31
1645056000,28
1645142400,25
1645228800,22
1645315200,19
1645401600,16
1645488000,13
1645574400,10
1645660800,7
1645747200,4
1645833600,1
1645920000,3
1646006400,6
1646092800,9
1646179200,12
1646265600,15
1646352000,18
1646438400,21
1646524800,24
1646611200,27
1646697600,30
1646784000,33
1646870400,36
1646956800,39
1647043200,42
1647129600,45
1647216000,48
1647302400,51
1647388800,54
1647475200,57
1647561600,60
1647648000,63
1647734400,66
1647820800,69
1647907200,72
1647993600,75
1648080000,78
1648166400,81
1648252800,84
1648339200,87
1648425600,90
1648512000,93
1648598400,96
1648684800,99
1648771200,100
1648857600,97
1648944000,94
1649030400,91
1649116800,88
1649203200,85
1649289600,82
1649376000,79
1649462400,76
1649548800,73
1649635200,70
1649721600,67
1649808000,64 
