time,close
1640995200,55
1641081600,52
1641168000,48
1641254400,45
1641340800,43
1641427200,41
1641513600,39
1641600000,37
1641686400,35
1641772800,33
1641859200,31
1641945600,38
1642032000,42
1642118400,45
1642204800,48
1642291200,52
1642377600,55
1642464000,58
1642550400,62
1642636800,65
1642723200,68
1642809600,71
1642896000,74
1642982400,77
1643068800,80
1643155200,83
1643241600,86
1643328000,89
1643414400,92
1643500800,95
1643587200,98
1643673600,100
1643760000,97
1643846400,94
1643932800,91
1644019200,88
1644105600,85
1644192000,82
1644278400,79
1644364800,76
1644451200,73
1644537600,70
1644624000,67
1644710400,64
1644796800,61
1644883200,58
1644969600,55
1645056000,52
1645142400,49
1645228800,46
1645315200,43
1645401600,40
1645488000,37
1645574400,34
1645660800,31
1645747200,28
1645833600,25
1645920000,22
1646006400,19
1646092800,16
1646179200,13
1646265600,10
1646352000,7
1646438400,4
1646524800,1
1646611200,3
1646697600,6
1646784000,9
1646870400,12
1646956800,15
1647043200,18
1647129600,21
1647216000,24
1647302400,27
1647388800,30
1647475200,33
1647561600,36
1647648000,39
1647734400,42
1647820800,45
1647907200,48
1647993600,51
1648080000,54
1648166400,57
1648252800,60
1648339200,63
1648425600,66
1648512000,69
1648598400,72
1648684800,75
1648771200,78
1648857600,81
1648944000,84
1649030400,87
1649116800,90
1649203200,93
1649289600,96
1649376000,99
1649462400,100
1649548800,97
1649635200,94
1649721600,91
1649808000,88 
